contract_id,employee_id,start_date,end_date,pay_rate,job_title,payment_frequency,contract_type,employment_type,contract_status
d833e72f-09dd-4a80-acfb-ebb69a7ac72d,E0000045,2023-12-16,2024-03-11,27.36,Administrative Assistant,Fortnightly,Permanent,Full-time,Terminated
65c34152-cb77-4ba5-a951-1cfc557acd08,E0000046,2022-03-14,,40.96,Software Developer,Monthly,Permanent,Part-time,Active
da65f6bd-b277-414c-99e9-5ccbba0008ab,E0000046,2021-09-14,2022-03-13,36.86,Software Developer,Weekly,Fixed-Term,Part-time,Expired
d25e446c-768a-491c-bfe8-9124b42f6745,E0000047,2021-01-04,2022-01-02,39.8,Security Guard,Weekly,Permanent,Full-time,Terminated
9450e7fe-6220-4342-9ed4-3db4ac88d238,E0000048,2023-02-18,2024-02-13,40.44,Administrative Assistant,Fortnightly,Fixed-Term,Full-time,Expired
2da723ac-9fa8-479b-94b0-851293f38fe5,E0000049,2021-10-20,,32.58,Administrative Assistant,Monthly,Permanent,Full-time,Active
18c11ae9-6bef-4c2a-9d06-775b6b399ea8,E0000050,2024-06-13,2025-06-08,40.38,Nurse,Weekly,Fixed-Term,Part-time,Active
3748c5bb-cff9-4107-bd54-2ce1bfe4a83c,E0000051,2024-08-01,,28.58,Software Developer,Fortnightly,Permanent,Full-time,Active
2d36bce3-d7ad-49ec-9824-66aa2e850aea,E0000051,2023-08-06,2024-07-31,27.15,Software Developer,Monthly,Permanent,Full-time,Expired
1408c58b-9161-4ec1-ba71-06b35dcbaa52,E0000052,2021-04-28,,43.66,Administrative Assistant,Monthly,Casual,Casual,Active
773e6417-8521-44f8-9b18-2ca3e6089f50,E0000053,2024-03-14,,34.44,Security Guard,Weekly,Casual,Casual,Active
c04248d1-debd-4b56-84b2-499e6ae0a84c,E0000054,2025-01-11,,40.07,Cleaner,Weekly,Permanent,Full-time,Active
47fd0e85-45e8-44fb-ba12-b38e5553752f,E0000055,2023-03-16,,27.88,Administrative Assistant,Fortnightly,Permanent,Full-time,Active
945d1b11-cd74-4ad5-8d83-ec2c8bf92a66,E0000056,2021-08-23,,35.53,IT Support Specialist,Weekly,Permanent,Full-time,Active
01eb8170-e4a9-49a7-b22e-cc0edd8051a4,E0000057,2021-11-16,2022-05-15,44.18,IT Support Specialist,Weekly,Fixed-Term,Part-time,Expired
0392bf6a-a8ab-461e-a691-f302bdf8b8ef,E0000058,2021-06-17,2021-12-14,47.65,Cleaner,Weekly,Fixed-Term,Part-time,Expired
b6c8443c-1754-4493-b007-0aff534ef773,E0000059,2021-08-17,,44.44,Cleaner,Weekly,Permanent,Part-time,Active
904883e1-ae5a-4831-8ec1-8a2b144fea59,E0000060,2022-02-18,2023-02-13,25.58,Security Guard,Fortnightly,Fixed-Term,Full-time,Expired
1d3f04f5-1024-4906-bb4f-dd447a8c0c8c,E0000061,2024-04-08,2026-03-29,20.9,Software Developer,Monthly,Fixed-Term,Part-time,Active
8ecb1ba6-89e2-4089-83c2-ed4e2eae3c7c,E0000062,2024-08-03,2024-11-22,32.33,IT Support Specialist,Weekly,Permanent,Full-time,Terminated
15473f15-943c-47a1-bb8d-2651a100596f,E0000063,2023-04-17,2024-04-11,26.16,Software Developer,Fortnightly,Fixed-Term,Full-time,Expired
edcaf9cc-14d6-42db-ab7e-e9a17736acb3,E0000064,2023-12-20,,46.13,Nurse,Weekly,Permanent,Full-time,Active
a7e567d8-7068-49ea-a264-3226fcc89abf,E0000065,2023-12-27,2024-06-24,37.68,Administrative Assistant,Monthly,Fixed-Term,Part-time,Expired
05027065-ed13-4147-85f7-7f748ae87b54,E0000066,2022-01-27,2022-07-26,36.26,Cleaner,Weekly,Fixed-Term,Part-time,Expired
0653e3f8-f949-4914-898f-794e5bb218ec,E0000067,2023-07-11,,42.56,Administrative Assistant,Fortnightly,Casual,Casual,Active
0a4b0335-41f9-45b7-b234-ae43f6956fc6,E0000068,2021-12-27,,33.5,IT Support Specialist,Weekly,Permanent,Part-time,Active
0b1b6e09-f3ff-45a5-8a3d-29b690dfc203,E0000069,2021-12-19,2022-12-14,48.42,Software Developer,Fortnightly,Fixed-Term,Part-time,Expired
79a27113-f1c4-4ac2-b074-c1baf2535d8c,E0000070,2024-10-19,,49.43,Software Developer,Monthly,Casual,Casual,Active
d5e2b135-bbb9-4280-aef2-9e9da819382c,E0000071,2022-07-10,2024-06-29,23.63,Nurse,Weekly,Fixed-Term,Full-time,Expired
c8995a17-56ec-46f0-99cd-a90cb31d6e48,E0000072,2022-01-25,,46.98,IT Support Specialist,Monthly,Permanent,Part-time,Active
2ff33edd-5cea-44ad-b8ed-bc203eb7d375,E0000073,2021-12-22,,27.81,IT Support Specialist,Monthly,Casual,Casual,Active
629a36c3-4420-45c7-a4c7-d62a392ee4d6,E0000074,2023-05-25,,20.5,Administrative Assistant,Monthly,Casual,Casual,Active
cc2e58f4-05c7-4392-89db-751c2cdb279e,E0000075,2021-03-09,,27.2,Security Guard,Monthly,Permanent,Part-time,Active
72c50c82-f63a-482d-9b82-f56eb856cccb,E0000076,2023-07-04,,41.48,Software Developer,Fortnightly,Casual,Casual,Active
54e00c47-9bd3-42e4-9d59-0fa65e9eeb5a,E0000077,2023-08-11,,31.26,Security Guard,Weekly,Permanent,Full-time,Active
93c45a96-95f1-44d1-99f1-f5db6283f053,E0000078,2021-08-24,,43.5,Nurse,Weekly,Casual,Casual,Active
b6f1e75f-06c6-491b-a26d-044ea177c3ce,E0000079,2021-09-28,,28.06,Security Guard,Fortnightly,Permanent,Part-time,Active
4fe56e7f-c7c8-4fcb-a6a7-b55f31278d65,E0000080,2023-12-10,,32.32,Cleaner,Weekly,Permanent,Full-time,Active
a0e38995-55bc-4d38-a226-88afbb18b2cc,E0000081,2024-11-06,2026-10-27,48.77,IT Support Specialist,Weekly,Fixed-Term,Full-time,Active
6a3b8949-20ea-4496-a15c-0c315d9ba054,E0000082,2021-08-27,,25.82,Administrative Assistant,Weekly,Casual,Casual,Active
d7394e76-d538-4211-9dec-24d20f85e659,E0000083,2024-09-18,2025-09-13,26.91,Nurse,Weekly,Fixed-Term,Full-time,Active
fd7e2292-f149-4fb6-be52-cdcb23e61e5f,E0000084,2025-02-08,,35.15,Cleaner,Weekly,Casual,Casual,Active
2d93f2db-871c-49b8-a5ad-1267510bea1d,E0000085,2021-03-19,,28.98,Nurse,Weekly,Casual,Casual,Active
6ab06325-c0ff-42d8-aab9-574fa687d2ed,E0000086,2022-10-28,2024-10-17,41.01,Administrative Assistant,Weekly,Fixed-Term,Part-time,Expired
c9d221ae-5578-4b59-9c34-a700a992566e,E0000087,2022-03-27,,26.26,Nurse,Weekly,Casual,Casual,Active
ed6fd9ec-c8ad-4394-a37a-b62a55f9bdd5,E0000088,2024-11-12,,32.63,Administrative Assistant,Weekly,Permanent,Full-time,Active
8c78b98e-1cac-4557-bd8c-ff847f117095,E0000089,2023-10-01,2024-09-25,49.87,Cleaner,Weekly,Fixed-Term,Full-time,Expired
f47d1e12-e37d-4fb2-9442-9baf1087cd08,E0000090,2021-09-10,,46.19,Software Developer,Weekly,Permanent,Full-time,Active
8364c5a5-90ad-4e2f-8223-cc119258978e,E0000091,2022-01-03,2022-12-29,36.71,IT Support Specialist,Fortnightly,Fixed-Term,Part-time,Expired
98841b26-641d-4e8e-a790-65107fd3022c,E0000092,2021-11-28,,29.88,Administrative Assistant,Fortnightly,Permanent,Full-time,Active
ec5cca24-24e3-44ea-bc33-08b5ca57a845,E0000093,2024-11-08,,29.55,IT Support Specialist,Monthly,Permanent,Part-time,Active
d96e23d3-a706-4e60-b9d1-4787e399fe99,E0000094,2025-03-02,2026-02-25,29.99,IT Support Specialist,Fortnightly,Fixed-Term,Part-time,Active
d3596d51-8e3d-406c-8585-361b9fea6482,E0000095,2021-01-06,2022-01-01,39.49,Security Guard,Monthly,Fixed-Term,Full-time,Expired
40508f4b-e7e4-4383-b26a-b5374faa985e,E0000096,2023-12-03,2025-11-22,21.54,Software Developer,Weekly,Fixed-Term,Full-time,Active
800353e8-30e1-4cee-a145-d19d7a7f0c54,E0000096,2023-06-05,2023-12-02,20.46,Software Developer,Fortnightly,Permanent,Full-time,Expired
1d8b0b00-1890-41d5-b4ba-44dcfdc29452,E0000097,2022-03-11,,28.91,Software Developer,Monthly,Permanent,Full-time,Active
5fe71588-ab21-4778-a417-f68e597bf6ff,E0000098,2023-09-23,,29.32,Security Guard,Monthly,Casual,Casual,Active
55e3a843-2163-4e4e-b4a8-c93c23468131,E0000099,2021-09-20,,46.69,Software Developer,Weekly,Casual,Casual,Active
927b0260-533b-426b-a1d5-3c40526d7a82,E0000100,2024-05-16,,21.67,Software Developer,Weekly,Casual,Casual,Active
